Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787725041,30,,Aggregated,2.500000,0.000000,8900,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,373,0,8900,9471.900839054577,285.622889874503,16849.952570162714,1743.3887399463806
1787725042,30,,Aggregated,2.500000,0.000000,8900,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,375,0,8900,9447.731466249252,285.622889874503,16849.952570162714,1743.272
1787725043,30,,Aggregated,2.600000,0.000000,8900,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,376,0,8900,9436.747927639752,285.622889874503,16849.952570162714,1743.345744680851
1787725044,30,,Aggregated,2.600000,0.000000,8900,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,377,0,8900,9425.751538954019,285.622889874503,16849.952570162714,1743.1644562334218
1787725045,30,,Aggregated,2.400000,0.000000,8900,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,379,0,8900,9405.75126987221,285.622889874503,16849.952570162714,1743.2796833773086
1787725046,30,,Aggregated,2.300000,0.000000,8800,10000,12000,14000,15000,16000,16000,17000,17000,17000,17000,381,0,8800,9387.020057678379,285.622889874503,16849.952570162714,1743.1653543307086
1787725047,30,,Aggregated,2.300000,0.000000,8800,10000,12000,14000,15000,16000,16000,17000,17000,17000,17000,383,0,8800,9372.087852095616,285.622889874503,16849.952570162714,1743.1044386422977
1787725048,30,,Aggregated,2.100000,0.000000,8800,10000,12000,14000,15000,16000,16000,17000,17000,17000,17000,386,0,8800,9354.369745478203,285.622889874503,16849.952570162714,1742.7487046632125
1787725049,30,,Aggregated,2.100000,0.000000,8800,10000,12000,14000,15000,16000,16000,17000,17000,17000,17000,387,0,8800,9348.03200049268,285.622889874503,16849.952570162714,1742.6770025839794
1787725050,30,,Aggregated,2.000000,0.000000,8700,10000,12000,14000,15000,16000,16000,17000,17000,17000,17000,389,0,8700,9339.294884803377,285.622889874503,16849.952570162714,1742.6478149100258
1787725051,30,,Aggregated,1.900000,0.000000,8700,10000,12000,14000,15000,16000,16000,17000,17000,17000,17000,391,0,8700,9333.853881070128,285.622889874503,16849.952570162714,1742.5856777493607
